339355 - Bechs ApS;;;;;;;;;;
Salg » Opsætning »;;;;;;;;;;
Varer;;;;;;;;;;
;;;;;;;;;;
Nr.;Navn;Gruppe;Salgspris;Kostpris;På lager;I ordre;Til rådighed;Bestilt;;
Bruges ej;Engangsvarer;3;0,00;0,00;0,00;0,00;0,00;0,00;;
frma3;Exception;11;50,00;0,00;0,00;0,00;0,00;0,00;;
frfe4;Felines Jourdan Chardonnay 2012;11;42,00;15,51;96,00;24,00;72,00;0,00;;
frfe3;Felines Jourdan Picpoul de Pinet;11;52,00;2,90;1,00;0,00;1,00;0,00;;
itca5;Ferrocinte Montonico 2013;11;69,00;31,26;300,00;0,00;300,00;0,00;;
itca1;Ferrocinto Magliocco 2012;11;48,00;17,73;72,00;0,00;72,00;0,00;;
spfi6;Finca la Estacada 12 meses Barriqa;11;52,00;21,88;42,00;0,00;42,00;0,00;;
spfi5;Finca la Estacada 6 meses Barriqa;11;43,00;0,00;0,00;0,00;0,00;0,00;;
spfi9;Finca la Estacada Blanco;11;44,00;15,47;6,00;0,00;6,00;0,00;;
spfi3;Finca la Estacada Varieral 18 meses barriqa;11;65,00;30,68;102,00;0,00;102,00;0,00;;
spvi4;Fincas Los Principes Gran Reserva 2002;11;120,00;0,00;0,00;0,00;0,00;0,00;;
spvi1;Fincas Los Principes Tinto/joven 2011;11;39,00;14,55;102,00;0,00;102,00;0,00;;
frde1;Foie Gras de Canard Entier 120 gr;21;62,00;42,11;36,00;0,00;36,00;120,00;;
frde2;Foie Gras de Canard Entier 90 gr;21;42,00;0,00;0,00;0,00;0,00;0,00;;
itsa6;"Foras ""Cannonau di Sardegna"" 2011";11;70,00;31,35;84,00;0,00;84,00;0,00;;
itfo7;Fortulla 2008;11;127,00;0,00;0,00;0,00;0,00;0,00;;
itfo1;Fortulla 2010, ikke fadlagret;11;105,00;0,00;0,00;0,00;0,00;0,00;;
itfo;Fortulla 2011 Rose;11;85,00;0,00;0,00;0,00;0,00;0,00;;
itfo10;Fosso Corno Aires 2012;11;44,00;16,30;84,00;0,00;84,00;0,00;;
itto2;Fragolino Bianco Pavin;11;30,00;0,00;0,00;0,00;0,00;0,00;;
gave1;Gaveæaske 1 stk.;1;3,00;0,00;0,00;0,00;0,00;0,00;;
gave2;Gaveæaske 2 stk.;1;7,00;0,00;0,00;0,00;0,00;0,00;;
gave3;Gaveæaske 3 stk.;1;8,00;0,00;-54,00;0,00;-54,00;0,00;;
itnu;Gavi;11;60,00;0,00;0,00;0,00;0,00;0,00;;
frde8;Gesieres de Canard 380 gr;21;35,00;23,51;138,00;0,00;138,00;0,00;;
sppe7;Gran Barquero Amontilado;14;110,00;56,81;72,00;0,00;72,00;0,00;;
sppe8;Gran Barquero Fino;14;79,00;36,48;54,00;0,00;54,00;0,00;;
sppe9;Gran Barquero Olorose;14;110,00;52,31;60,00;0,00;60,00;0,00;;
sppe10;Gran Barquero PX;14;110,00;60,35;108,00;18,00;90,00;0,00;;
itgr;Granchiaia;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frgr5;Grange Philippe Ros;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frgr;Grange Philippe Rose Gipsy;11;50,00;20,48;403,00;138,00;265,00;0,00;;
frgr2;Gres St. Paul Bohémienne 2012;11;82,00;40,92;55,00;12,00;43,00;0,00;;
frgr7;Gres St. Paul Cabernet Franc;11;48,00;2,70;-5,00;0,00;-5,00;0,00;;
frgr11;Gres St. Paul Cuvee Antonin 2012;11;80,00;37,20;84,00;0,00;84,00;0,00;;
frgr10;Gres St. Paul Merlot;11;48,00;0,00;0,00;0,00;0,00;0,00;;
frgr6;Gres St. Paul Mouvédre, Piccolino;11;48,00;0,00;0,00;0,00;0,00;0,00;;
